The number of selected features is: 50

The index of selected features start from 0

NO.		FeaName		Score

1		Fea80		0.13530299649497732
2		Fea79		0.12868337420772172
3		Fea78		0.11901664859948048
4		Fea77		0.10654190801041312
5		Fea15		0.10445135235790867
6		Fea81		0.10225149882553303
7		Fea74		0.09073607525550381
8		Fea94		0.08953179214761454
9		Fea7		0.08450160206848124
10		Fea75		0.08154405360807984
11		Fea43		0.08139673507354553
12		Fea19		0.07906605253796527
13		Fea42		0.07903213777108546
14		Fea38		0.07896564602992275
15		Fea88		0.07787325948708813
16		Fea30		0.07757428970697362
17		Fea73		0.0771372851549522
18		Fea76		0.07643410000150386
19		Fea69		0.07630861789253171
20		Fea82		0.07566892460351396
21		Fea40		0.07380927828533193
22		Fea26		0.07368419051800208
23		Fea68		0.07131967127710362
24		Fea60		0.07088746365164272
25		Fea86		0.07045810010236112
26		Fea89		0.07037699340571803
27		Fea87		0.07002356272614317
28		Fea72		0.06966419700022636
29		Fea36		0.06937413498226433
30		Fea96		0.06919887076668303
31		Fea90		0.06901060056922598
32		Fea100		0.06679751936121758
33		Fea8		0.06644099063570766
34		Fea64		0.06625368508005283
35		Fea70		0.06513169760111533
36		Fea55		0.06387384023295033
37		Fea6		0.06372537844750038
38		Fea16		0.06367262336535257
39		Fea10		0.06338482647884203
40		Fea49		0.06310474817680951
41		Fea14		0.06273131818000435
42		Fea92		0.06150290078493943
43		Fea37		0.06148334727809779
44		Fea27		0.060243756525202606
45		Fea66		0.05991753105268595
46		Fea3		0.05954217780745405
47		Fea83		0.05830172304832409
48		Fea65		0.05816439151546132
49		Fea85		0.05760444553267918
50		Fea41		0.05726320348214517
